amount,bill_usage,service,tran_date,account
73,21,WATER,31-03-15,6-1854C
116.2,33,WATER,30-04-15,6-1854C
2.51,0,DWELLING C,30-09-14,6-1854C
2.51,0,DWELLING C,31-10-14,6-1854C
2.51,0,DWELLING C,30-11-14,6-1854C
2.51,0,DWELLING C,31-12-14,6-1854C
2.81,0,DWELLING C,31-01-15,6-1854C
2.81,0,DWELLING C,28-02-15,6-1854C
2.81,0,DWELLING C,31-03-15,6-1854C
2.81,0,DWELLING C,30-04-15,6-1854C
2.81,0,DWELLING C,31-05-15,6-1854C
2.81,0,DWELLING C,30-06-15,6-1854C
4.44,37,PWS,31-07-14,6-1854C
2.51,0,DWELLING C,31-07-14,6-1854C
2.51,0,DWELLING C,31-08-14,6-1854C
4.59,27,PWS,31-10-14,6-1854C
1.5,30,PWS,30-11-14,6-1854C
1.74,29,PWS,31-12-14,6-1854C
0,0,PWS,31-01-15,6-1854C
0,0,PWS,28-02-15,6-1854C
0,0,PWS,31-03-15,6-1854C
0,0,PWS,30-04-15,6-1854C
0,0,PWS,31-05-15,6-1854C
0,0,PWS,30-06-15,6-1854C
114.23,37,WATER,31-07-14,6-1854C
230.4,70,WATER,31-08-14,6-1854C
24.5,70,PWS,31-08-14,6-1854C
29.89,61,PWS,30-09-14,6-1854C
14.7,0,WATER,31-07-14,14-6711Y
14.7,0,WATER,31-08-14,14-6711Y
14.7,0,WATER,31-01-15,14-6711Y
24.14,4,WATER,28-02-15,14-6711Y
28.86,6,WATER,31-03-15,14-6711Y
26.5,5,WATER,30-04-15,14-6711Y
41.2,11,WATER,31-05-15,14-6711Y
27.74,4,WATER,30-06-15,14-6711Y
0,0,PWS,31-07-14,14-6711Y
0,0,PWS,31-08-14,14-6711Y
0,0,PWS,30-09-14,14-6711Y
0,0,PWS,31-10-14,14-6711Y
0,0,PWS,30-11-14,14-6711Y
0.06,1,PWS,31-12-14,14-6711Y
0,0,PWS,31-01-15,14-6711Y
0,0,PWS,28-02-15,14-6711Y
0,0,PWS,31-03-15,14-6711Y
0,0,PWS,30-04-15,14-6711Y
0,0,PWS,31-05-15,14-6711Y
0,0,PWS,30-06-15,14-6711Y
14.7,0,WATER,30-11-14,14-6711Y
16.73,1,WATER,31-12-14,14-6711Y
14.7,0,WATER,30-09-14,14-6711Y
14.7,0,WATER,31-10-14,14-6711Y
32.97,9,WATER,31-07-14,13-9642C
39.98,12,WATER,31-08-14,13-9642C
49.94,16,WATER,30-09-14,13-9642C
30.94,8,WATER,31-10-14,13-9642C
20.79,3,WATER,30-11-14,13-9642C
24.85,5,WATER,31-12-14,13-9642C
21.78,3,WATER,31-05-15,13-9642C
34.26,6,WATER,30-06-15,13-9642C
1.08,9,PWS,31-07-14,13-9642C
4.2,12,PWS,31-08-14,13-9642C
7.84,16,PWS,30-09-14,13-9642C
1.36,8,PWS,31-10-14,13-9642C
0.15,3,PWS,30-11-14,13-9642C
0.3,5,PWS,31-12-14,13-9642C
0,0,PWS,31-01-15,13-9642C
24.14,4,WATER,31-01-15,13-9642C
26.5,5,WATER,28-02-15,13-9642C
19.42,2,WATER,31-03-15,13-9642C
24.14,4,WATER,30-04-15,13-9642C
0,0,PWS,30-06-15,13-9642C
0,0,PWS,31-05-15,13-9642C
0,0,PWS,28-02-15,13-9642C
0,0,PWS,31-03-15,13-9642C
0,0,PWS,30-04-15,13-9642C
61.7,20,WATER,31-07-14,11-8362J
52.43,17,WATER,31-08-14,11-8362J
42.47,13,WATER,30-09-14,11-8362J
47.45,15,WATER,31-10-14,11-8362J
28.91,7,WATER,30-11-14,11-8362J
28.91,7,WATER,31-12-14,11-8362J
24.14,4,WATER,31-01-15,11-8362J
26.5,5,WATER,28-02-15,11-8362J
26.5,5,WATER,31-03-15,11-8362J
5.95,17,PWS,31-08-14,11-8362J
6.37,13,PWS,30-09-14,11-8362J
2.55,15,PWS,31-10-14,11-8362J
0.35,7,PWS,30-11-14,11-8362J
0.42,7,PWS,31-12-14,11-8362J
0,0,PWS,31-01-15,11-8362J
0,0,PWS,28-02-15,11-8362J
0,0,PWS,31-03-15,11-8362J
0,0,PWS,30-04-15,11-8362J
31.22,7,WATER,30-04-15,11-8362J
31.22,7,WATER,31-05-15,11-8362J
37.52,7,WATER,30-06-15,11-8362J
2.4,20,PWS,31-07-14,11-8362J
0,0,PWS,31-05-15,11-8362J
0,0,PWS,30-06-15,11-8362J
26.88,6,WATER,30-09-14,7-7712Q
28.91,7,WATER,31-12-14,7-7712Q
31.22,7,WATER,31-01-15,7-7712Q
42.47,13,WATER,31-10-14,7-7712Q
30.94,8,WATER,30-11-14,7-7712Q
44.1,12,WATER,30-04-15,7-7712Q
41.2,11,WATER,31-05-15,7-7712Q
31.22,7,WATER,28-02-15,7-7712Q
38.3,10,WATER,31-03-15,7-7712Q
37.49,11,WATER,31-07-14,7-7712Q
42.47,13,WATER,31-08-14,7-7712Q
2.21,13,PWS,31-10-14,7-7712Q
0.4,8,PWS,30-11-14,7-7712Q
0.42,7,PWS,31-12-14,7-7712Q
0,0,PWS,31-01-15,7-7712Q
0,0,PWS,28-02-15,7-7712Q
0,0,PWS,31-03-15,7-7712Q
0,0,PWS,30-04-15,7-7712Q
0,0,PWS,31-05-15,7-7712Q
0,0,PWS,30-06-15,7-7712Q
2.94,6,PWS,30-09-14,7-7712Q
80.27,18,WATER,30-06-15,7-7712Q
1.32,11,PWS,31-07-14,7-7712Q
4.55,13,PWS,31-08-14,7-7712Q
70.97,23,WATER,31-07-14,15-6146W
64.79,21,WATER,31-12-14,15-6146W
58.6,17,WATER,31-01-15,15-6146W
65.8,19,WATER,28-02-15,15-6146W
49.9,14,WATER,31-03-15,15-6146W
73,21,WATER,30-04-15,15-6146W
26.5,5,WATER,31-05-15,15-6146W
24.48,3,WATER,30-06-15,15-6146W
2.76,23,PWS,31-07-14,15-6146W
8.75,25,PWS,31-08-14,15-6146W
77.15,25,WATER,31-08-14,15-6146W
42.47,13,WATER,30-09-14,15-6146W
47.45,15,WATER,31-10-14,15-6146W
28.91,7,WATER,30-11-14,15-6146W
0,0,PWS,31-01-15,15-6146W
0,0,PWS,28-02-15,15-6146W
0,0,PWS,31-03-15,15-6146W
0,0,PWS,30-04-15,15-6146W
0,0,PWS,31-05-15,15-6146W
0,0,PWS,30-06-15,15-6146W
2.55,15,PWS,31-10-14,15-6146W
0.35,7,PWS,30-11-14,15-6146W
1.26,21,PWS,31-12-14,15-6146W
6.37,13,PWS,30-09-14,15-6146W
47.45,15,WATER,31-07-14,15-7782L
67.88,22,WATER,31-08-14,15-7782L
77.15,25,WATER,30-09-14,15-7782L
31.22,7,WATER,28-02-15,15-7782L
28.86,6,WATER,31-03-15,15-7782L
33.58,8,WATER,30-04-15,15-7782L
44.1,12,WATER,31-05-15,15-7782L
40.78,8,WATER,30-06-15,15-7782L
1.8,15,PWS,31-07-14,15-7782L
7.7,22,PWS,31-08-14,15-7782L
12.25,25,PWS,30-09-14,15-7782L
2.21,13,PWS,31-10-14,15-7782L
0.5,10,PWS,30-11-14,15-7782L
0.42,7,PWS,31-12-14,15-7782L
0,0,PWS,31-01-15,15-7782L
0,0,PWS,28-02-15,15-7782L
0,0,PWS,31-03-15,15-7782L
0,0,PWS,30-04-15,15-7782L
0,0,PWS,31-05-15,15-7782L
0,0,PWS,30-06-15,15-7782L
42.47,13,WATER,31-10-14,15-7782L
35,10,WATER,30-11-14,15-7782L
28.91,7,WATER,31-12-14,15-7782L
33.58,8,WATER,31-01-15,15-7782L
32.97,9,WATER,31-07-14,8-9707E
32.97,9,WATER,31-08-14,8-9707E
32.97,9,WATER,30-09-14,8-9707E
30.94,8,WATER,31-10-14,8-9707E
28.91,7,WATER,30-11-14,8-9707E
30.94,8,WATER,31-12-14,8-9707E
31.22,7,WATER,31-01-15,8-9707E
31.22,7,WATER,28-02-15,8-9707E
1.08,9,PWS,31-07-14,8-9707E
3.15,9,PWS,31-08-14,8-9707E
4.41,9,PWS,30-09-14,8-9707E
1.36,8,PWS,31-10-14,8-9707E
0.35,7,PWS,30-11-14,8-9707E
0.48,8,PWS,31-12-14,8-9707E
0,0,PWS,31-01-15,8-9707E
0,0,PWS,28-02-15,8-9707E
0,0,PWS,31-03-15,8-9707E
33.58,8,WATER,31-03-15,8-9707E
38.3,10,WATER,30-04-15,8-9707E
38.3,10,WATER,31-05-15,8-9707E
47.3,10,WATER,30-06-15,8-9707E
0,0,PWS,30-06-15,8-9707E
0,0,PWS,30-04-15,8-9707E
0,0,PWS,31-05-15,8-9707E
58.61,19,WATER,30-09-14,10-2254L
83.33,27,WATER,31-08-14,10-2254L
49.9,14,WATER,31-01-15,10-2254L
52.43,17,WATER,31-10-14,10-2254L
49.94,16,WATER,30-11-14,10-2254L
49.94,16,WATER,31-12-14,10-2254L
49.9,14,WATER,31-05-15,10-2254L
49.9,14,WATER,28-02-15,10-2254L
47,13,WATER,31-03-15,10-2254L
47,13,WATER,30-04-15,10-2254L
9.31,19,PWS,30-09-14,10-2254L
2.89,17,PWS,31-10-14,10-2254L
0.8,16,PWS,30-11-14,10-2254L
0.96,16,PWS,31-12-14,10-2254L
0,0,PWS,31-01-15,10-2254L
0,0,PWS,28-02-15,10-2254L
0,0,PWS,31-03-15,10-2254L
0,0,PWS,30-04-15,10-2254L
0,0,PWS,31-05-15,10-2254L
0,0,PWS,30-06-15,10-2254L
67.3,15,WATER,30-06-15,10-2254L
3.36,28,PWS,31-07-14,10-2254L
9.45,27,PWS,31-08-14,10-2254L
86.42,28,WATER,31-07-14,10-2254L
77.15,25,WATER,31-10-14,5-4306J
47.45,15,WATER,30-11-14,5-4306J
35,10,WATER,31-12-14,5-4306J
28.86,6,WATER,31-01-15,5-4306J
28.86,6,WATER,28-02-15,5-4306J
33.58,8,WATER,31-03-15,5-4306J
62.2,18,WATER,30-04-15,5-4306J
44.1,12,WATER,31-05-15,5-4306J
59.3,13,WATER,30-06-15,5-4306J
74.06,24,WATER,31-07-14,5-4306J
165.8,26,WATER,31-08-14,5-4306J
0,27,WATER,31-08-14,5-4306J
101.87,33,WATER,30-09-14,5-4306J
0.75,15,PWS,30-11-14,5-4306J
0.6,10,PWS,31-12-14,5-4306J
0,0,PWS,31-01-15,5-4306J
0,0,PWS,28-02-15,5-4306J
0,0,PWS,31-03-15,5-4306J
0,0,PWS,30-04-15,5-4306J
0,0,PWS,31-05-15,5-4306J
0,0,PWS,30-06-15,5-4306J
16.17,33,PWS,30-09-14,5-4306J
4.25,25,PWS,31-10-14,5-4306J
2.88,24,PWS,31-07-14,5-4306J
18.55,53,PWS,31-08-14,5-4306J
35,10,WATER,31-07-14,11-6729J
30.94,8,WATER,31-08-14,11-6729J
28.86,6,WATER,31-01-15,11-6729J
28.86,6,WATER,28-02-15,11-6729J
26.5,5,WATER,31-03-15,11-6729J
31.22,7,WATER,30-04-15,11-6729J
26.5,5,WATER,31-05-15,11-6729J
37.52,7,WATER,30-06-15,11-6729J
1.2,10,PWS,31-07-14,11-6729J
2.8,8,PWS,31-08-14,11-6729J
2.45,5,PWS,30-09-14,11-6729J
24.85,5,WATER,30-09-14,11-6729J
22.82,4,WATER,31-10-14,11-6729J
32.97,9,WATER,30-11-14,11-6729J
28.91,7,WATER,31-12-14,11-6729J
0,0,PWS,28-02-15,11-6729J
0,0,PWS,31-03-15,11-6729J
0,0,PWS,30-04-15,11-6729J
0,0,PWS,31-05-15,11-6729J
0,0,PWS,30-06-15,11-6729J
0.68,4,PWS,31-10-14,11-6729J
0.45,9,PWS,30-11-14,11-6729J
0.42,7,PWS,31-12-14,11-6729J
0,0,PWS,31-01-15,11-6729J
44.96,14,WATER,31-07-14,8-1075N
52.43,17,WATER,31-08-14,8-1075N
80.24,26,WATER,30-09-14,8-1075N
70.97,23,WATER,31-10-14,8-1075N
24.14,4,WATER,31-03-15,8-1075N
44.1,12,WATER,30-04-15,8-1075N
35.94,9,WATER,31-05-15,8-1075N
40.78,8,WATER,30-06-15,8-1075N
1.68,14,PWS,31-07-14,8-1075N
5.95,17,PWS,31-08-14,8-1075N
12.74,26,PWS,30-09-14,8-1075N
3.91,23,PWS,31-10-14,8-1075N
0.65,13,PWS,30-11-14,8-1075N
0.54,9,PWS,31-12-14,8-1075N
0,0,PWS,31-01-15,8-1075N
0,0,PWS,28-02-15,8-1075N
0,0,PWS,31-03-15,8-1075N
0,0,PWS,30-04-15,8-1075N
0,0,PWS,31-05-15,8-1075N
0,0,PWS,30-06-15,8-1075N
42.47,13,WATER,30-11-14,8-1075N
32.97,9,WATER,31-12-14,8-1075N
21.78,3,WATER,31-01-15,8-1075N
21.78,3,WATER,28-02-15,8-1075N
52.43,17,WATER,31-07-14,15-3063R
70.97,23,WATER,31-08-14,15-3063R
64.79,21,WATER,30-09-14,15-3063R
55.52,18,WATER,31-10-14,15-3063R
49.94,16,WATER,30-11-14,15-3063R
37.49,11,WATER,31-12-14,15-3063R
26.5,5,WATER,31-01-15,15-3063R
24.14,4,WATER,28-02-15,15-3063R
2.04,17,PWS,31-07-14,15-3063R
8.05,23,PWS,31-08-14,15-3063R
10.29,21,PWS,30-09-14,15-3063R
3.06,18,PWS,31-10-14,15-3063R
0.8,16,PWS,30-11-14,15-3063R
0.66,11,PWS,31-12-14,15-3063R
0,0,PWS,31-01-15,15-3063R
0,0,PWS,28-02-15,15-3063R
0,0,PWS,31-03-15,15-3063R
31.22,7,WATER,31-03-15,15-3063R
38.3,10,WATER,30-04-15,15-3063R
41.2,11,WATER,31-05-15,15-3063R
47.3,10,WATER,30-06-15,15-3063R
0,0,PWS,30-06-15,15-3063R
0,0,PWS,30-04-15,15-3063R
0,0,PWS,31-05-15,15-3063R
104.96,34,WATER,30-09-14,11-8711W
74.06,24,WATER,31-08-14,11-8711W
19.42,2,WATER,31-01-15,11-8711W
86.42,28,WATER,31-10-14,11-8711W
47.45,15,WATER,30-11-14,11-8711W
42.47,13,WATER,31-12-14,11-8711W
35.94,9,WATER,31-05-15,11-8711W
17.06,1,WATER,28-02-15,11-8711W
28.86,6,WATER,31-03-15,11-8711W
33.58,8,WATER,30-04-15,11-8711W
16.66,34,PWS,30-09-14,11-8711W
4.76,28,PWS,31-10-14,11-8711W
0.75,15,PWS,30-11-14,11-8711W
0.78,13,PWS,31-12-14,11-8711W
0,0,PWS,31-01-15,11-8711W
0,0,PWS,28-02-15,11-8711W
0,0,PWS,31-03-15,11-8711W
0,0,PWS,30-04-15,11-8711W
0,0,PWS,31-05-15,11-8711W
0,0,PWS,30-06-15,11-8711W
37.52,7,WATER,30-06-15,11-8711W
1.68,14,PWS,31-07-14,11-8711W
8.4,24,PWS,31-08-14,11-8711W
44.96,14,WATER,31-07-14,11-8711W
14.7,0,WATER,30-11-14,7-1297P
14.7,0,WATER,31-12-14,7-1297P
14.7,0,WATER,31-01-15,7-1297P
14.7,0,WATER,28-02-15,7-1297P
14.7,0,WATER,31-03-15,7-1297P
14.7,0,WATER,30-04-15,7-1297P
14.7,0,WATER,31-05-15,7-1297P
14.7,0,WATER,30-06-15,7-1297P
0.12,1,PWS,31-07-14,7-1297P
16.73,1,WATER,31-07-14,7-1297P
32.97,9,WATER,31-08-14,7-1297P
22.82,4,WATER,30-09-14,7-1297P
18.76,2,WATER,31-10-14,7-1297P
0,0,PWS,31-12-14,7-1297P
0,0,PWS,31-01-15,7-1297P
0,0,PWS,28-02-15,7-1297P
0,0,PWS,31-03-15,7-1297P
0,0,PWS,30-04-15,7-1297P
0,0,PWS,31-05-15,7-1297P
0,0,PWS,30-06-15,7-1297P
1.96,4,PWS,30-09-14,7-1297P
0.34,2,PWS,31-10-14,7-1297P
0,0,PWS,30-11-14,7-1297P
3.15,9,PWS,31-08-14,7-1297P
42.47,13,WATER,31-07-14,13-2038J
35,10,WATER,31-08-14,13-2038J
39.98,12,WATER,30-09-14,13-2038J
31.22,7,WATER,28-02-15,13-2038J
33.58,8,WATER,31-03-15,13-2038J
35.94,9,WATER,30-04-15,13-2038J
35.94,9,WATER,31-05-15,13-2038J
40.78,8,WATER,30-06-15,13-2038J
1.56,13,PWS,31-07-14,13-2038J
3.5,10,PWS,31-08-14,13-2038J
5.88,12,PWS,30-09-14,13-2038J
1.53,9,PWS,31-10-14,13-2038J
32.97,9,WATER,31-10-14,13-2038J
30.94,8,WATER,30-11-14,13-2038J
32.97,9,WATER,31-12-14,13-2038J
33.58,8,WATER,31-01-15,13-2038J
0,0,PWS,31-03-15,13-2038J
0,0,PWS,30-04-15,13-2038J
0,0,PWS,31-05-15,13-2038J
0,0,PWS,30-06-15,13-2038J
0,0,PWS,28-02-15,13-2038J
0.4,8,PWS,30-11-14,13-2038J
0.54,9,PWS,31-12-14,13-2038J
0,0,PWS,31-01-15,13-2038J
64.79,21,WATER,31-07-14,4-6530I
47.45,15,WATER,31-08-14,4-6530I
52.43,17,WATER,30-09-14,4-6530I
35,10,WATER,31-10-14,4-6530I
86.42,28,WATER,30-11-14,4-6530I
35.94,9,WATER,30-04-15,4-6530I
41.2,11,WATER,31-05-15,4-6530I
59.3,13,WATER,30-06-15,4-6530I
2.51,0,DWELLING C,31-07-14,4-6530I
2.51,0,DWELLING C,31-08-14,4-6530I
2.51,0,DWELLING C,30-09-14,4-6530I
2.51,0,DWELLING C,31-10-14,4-6530I
2.51,0,DWELLING C,30-11-14,4-6530I
2.51,0,DWELLING C,31-12-14,4-6530I
2.81,0,DWELLING C,31-01-15,4-6530I
2.81,0,DWELLING C,28-02-15,4-6530I
2.81,0,DWELLING C,31-03-15,4-6530I
2.81,0,DWELLING C,30-04-15,4-6530I
2.81,0,DWELLING C,31-05-15,4-6530I
2.81,0,DWELLING C,30-06-15,4-6530I
2.52,21,PWS,31-07-14,4-6530I
5.25,15,PWS,31-08-14,4-6530I
8.33,17,PWS,30-09-14,4-6530I
1.7,10,PWS,31-10-14,4-6530I
1.4,28,PWS,30-11-14,4-6530I
1.68,28,PWS,31-12-14,4-6530I
0,0,PWS,31-01-15,4-6530I
0,0,PWS,28-02-15,4-6530I
0,0,PWS,31-03-15,4-6530I
0,0,PWS,30-04-15,4-6530I
0,0,PWS,31-05-15,4-6530I
0,0,PWS,30-06-15,4-6530I
28.86,6,WATER,31-03-15,4-6530I
86.42,28,WATER,31-12-14,4-6530I
31.22,7,WATER,31-01-15,4-6530I
33.58,8,WATER,28-02-15,4-6530I
52.43,17,WATER,31-08-14,2-1119X
37.49,11,WATER,31-12-14,2-1119X
44.96,14,WATER,30-09-14,2-1119X
39.98,12,WATER,31-10-14,2-1119X
39.98,12,WATER,30-11-14,2-1119X
41.2,11,WATER,30-04-15,2-1119X
35.94,9,WATER,31-01-15,2-1119X
44.1,12,WATER,28-02-15,2-1119X
65.8,19,WATER,31-03-15,2-1119X
61.7,20,WATER,31-07-14,2-1119X
6.86,14,PWS,30-09-14,2-1119X
2.04,12,PWS,31-10-14,2-1119X
0.6,12,PWS,30-11-14,2-1119X
0.66,11,PWS,31-12-14,2-1119X
0,0,PWS,31-01-15,2-1119X
0,0,PWS,28-02-15,2-1119X
0,0,PWS,31-03-15,2-1119X
0,0,PWS,30-04-15,2-1119X
0,0,PWS,31-05-15,2-1119X
0,0,PWS,30-06-15,2-1119X
33.58,8,WATER,31-05-15,2-1119X
31,5,WATER,30-06-15,2-1119X
2.4,20,PWS,31-07-14,2-1119X
5.95,17,PWS,31-08-14,2-1119X
24.85,5,WATER,30-11-14,7-1567W
22.82,4,WATER,31-12-14,7-1567W
21.78,3,WATER,31-01-15,7-1567W
24.14,4,WATER,28-02-15,7-1567W
26.5,5,WATER,31-03-15,7-1567W
47,13,WATER,30-04-15,7-1567W
24.14,4,WATER,31-05-15,7-1567W
34.26,6,WATER,30-06-15,7-1567W
0.72,6,PWS,31-07-14,7-1567W
26.88,6,WATER,31-07-14,7-1567W
28.91,7,WATER,31-08-14,7-1567W
30.94,8,WATER,30-09-14,7-1567W
24.85,5,WATER,31-10-14,7-1567W
0.24,4,PWS,31-12-14,7-1567W
0,0,PWS,31-01-15,7-1567W
0,0,PWS,28-02-15,7-1567W
0,0,PWS,31-03-15,7-1567W
0,0,PWS,30-04-15,7-1567W
0,0,PWS,31-05-15,7-1567W
0,0,PWS,30-06-15,7-1567W
0.85,5,PWS,31-10-14,7-1567W
0.25,5,PWS,30-11-14,7-1567W
2.45,7,PWS,31-08-14,7-1567W
3.92,8,PWS,30-09-14,7-1567W
49.94,16,WATER,31-07-14,14-7229K
42.47,13,WATER,31-08-14,14-7229K
31.22,7,WATER,31-01-15,14-7229K
28.86,6,WATER,28-02-15,14-7229K
28.86,6,WATER,31-03-15,14-7229K
41.2,11,WATER,30-04-15,14-7229K
31.22,7,WATER,31-05-15,14-7229K
31,5,WATER,30-06-15,14-7229K
2.51,0,DWELLING C,31-07-14,14-7229K
2.51,0,DWELLING C,31-08-14,14-7229K
2.51,0,DWELLING C,30-09-14,14-7229K
2.51,0,DWELLING C,31-10-14,14-7229K
2.51,0,DWELLING C,30-11-14,14-7229K
2.51,0,DWELLING C,31-12-14,14-7229K
2.81,0,DWELLING C,31-01-15,14-7229K
2.81,0,DWELLING C,28-02-15,14-7229K
2.81,0,DWELLING C,31-03-15,14-7229K
2.81,0,DWELLING C,30-04-15,14-7229K
2.81,0,DWELLING C,31-05-15,14-7229K
2.81,0,DWELLING C,30-06-15,14-7229K
1.92,16,PWS,31-07-14,14-7229K
4.55,13,PWS,31-08-14,14-7229K
5.88,12,PWS,30-09-14,14-7229K
1.7,10,PWS,31-10-14,14-7229K
0.5,10,PWS,30-11-14,14-7229K
0.42,7,PWS,31-12-14,14-7229K
0,0,PWS,31-01-15,14-7229K
0,0,PWS,28-02-15,14-7229K
0,0,PWS,31-03-15,14-7229K
0,0,PWS,30-04-15,14-7229K
0,0,PWS,31-05-15,14-7229K
0,0,PWS,30-06-15,14-7229K
35,10,WATER,30-11-14,14-7229K
28.91,7,WATER,31-12-14,14-7229K
39.98,12,WATER,30-09-14,14-7229K
35,10,WATER,31-10-14,14-7229K
39.98,12,WATER,31-07-14,10-3972Q
70.97,23,WATER,31-08-14,10-3972Q
37.49,11,WATER,30-09-14,10-3972Q
35,10,WATER,31-10-14,10-3972Q
28.91,7,WATER,30-11-14,10-3972Q
26.88,6,WATER,31-12-14,10-3972Q
33.58,8,WATER,31-05-15,10-3972Q
37.52,7,WATER,30-06-15,10-3972Q
1.44,12,PWS,31-07-14,10-3972Q
8.05,23,PWS,31-08-14,10-3972Q
5.39,11,PWS,30-09-14,10-3972Q
1.7,10,PWS,31-10-14,10-3972Q
0.35,7,PWS,30-11-14,10-3972Q
0.36,6,PWS,31-12-14,10-3972Q
0,0,PWS,31-01-15,10-3972Q
0,0,PWS,28-02-15,10-3972Q
0,0,PWS,31-03-15,10-3972Q
0,0,PWS,30-04-15,10-3972Q
0,0,PWS,31-05-15,10-3972Q
0,0,PWS,30-06-15,10-3972Q
26.5,5,WATER,28-02-15,10-3972Q
28.86,6,WATER,31-03-15,10-3972Q
33.58,8,WATER,30-04-15,10-3972Q
28.86,6,WATER,31-01-15,10-3972Q
32.97,9,WATER,31-10-14,7-6316L
24.85,5,WATER,31-12-14,7-6316L
26.5,5,WATER,31-01-15,7-6316L
26.5,5,WATER,28-02-15,7-6316L
26.88,6,WATER,30-11-14,7-6316L
33.58,8,WATER,30-04-15,7-6316L
26.5,5,WATER,31-05-15,7-6316L
37.52,7,WATER,30-06-15,7-6316L
28.86,6,WATER,31-03-15,7-6316L
28.91,7,WATER,31-07-14,7-6316L
26.88,6,WATER,31-08-14,7-6316L
123.5,40,WATER,30-09-14,7-6316L
0.3,6,PWS,30-11-14,7-6316L
0.3,5,PWS,31-12-14,7-6316L
0,0,PWS,31-01-15,7-6316L
0,0,PWS,28-02-15,7-6316L
0,0,PWS,31-03-15,7-6316L
0,0,PWS,30-04-15,7-6316L
0,0,PWS,31-05-15,7-6316L
0,0,PWS,30-06-15,7-6316L
1.53,9,PWS,31-10-14,7-6316L
0.84,7,PWS,31-07-14,7-6316L
2.1,6,PWS,31-08-14,7-6316L
19.6,40,PWS,30-09-14,7-6316L
37.49,11,WATER,31-07-14,8-7487J
24.85,5,WATER,31-12-14,8-7487J
33.58,8,WATER,31-01-15,8-7487J
26.5,5,WATER,28-02-15,8-7487J
19.42,2,WATER,31-03-15,8-7487J
24.14,4,WATER,30-04-15,8-7487J
19.42,2,WATER,31-05-15,8-7487J
37.52,7,WATER,30-06-15,8-7487J
1.32,11,PWS,31-07-14,8-7487J
3.85,11,PWS,31-08-14,8-7487J
3.92,8,PWS,30-09-14,8-7487J
1.02,6,PWS,31-10-14,8-7487J
2.25,45,PWS,30-11-14,8-7487J
0.3,5,PWS,31-12-14,8-7487J
0,0,PWS,31-01-15,8-7487J
